Question,Question Type,QID,Answer,Title,EM,F1,Question Words,Answer Words,Question Length,Answer Length
Which opioid/opioid formulation did not have enough evidence to be recommended for or against?,Which,68,"any specific opioid or opioid formulation,  specifically the following:  Short-acting versus long-acting opioids (for LOT for chronic pain), Route of administration/delivery among alternatives such as transdermal, buccal, sublingual, or pumps, Abuse deterrent formulations of opioids compared to non-abuse deterrent formulations, Tramadol and other dual-mechanism opioids. Buprenorphine for pain (compared to other opioids), Methadone (with QT monitoring). ",Recommendations,0,0.13559322033898305,"['Which', 'opioid', '/', 'opioid', 'formulation', 'did', 'not', 'have', 'enough', 'evidence', 'to', 'be', 'recommended', 'for', 'or', 'against', '?']","['any', 'specific', 'opioid', 'or', 'opioid', 'formulation', ',', ' ', 'specifically', 'the', 'following', ':', ' ', 'Short', '-', 'acting', 'versus', 'long', '-', 'acting', 'opioids', '(', 'for', 'LOT', 'for', 'chronic', 'pain', ')', ',', 'Route', 'of', 'administration', '/', 'delivery', 'among', 'alternatives', 'such', 'as', 'transdermal', ',', 'buccal', ',', 'sublingual', ',', 'or', 'pumps', ',', 'Abuse', 'deterrent', 'formulations', 'of', 'opioids', 'compared', 'to', 'non', '-', 'abuse', 'deterrent', 'formulations', ',', 'Tramadol', 'and', 'other', 'dual', '-', 'mechanism', 'opioids', '.', 'Buprenorphine', 'for', 'pain', '(', 'compared', 'to', 'other', 'opioids', ')', ',', 'Methadone', '(', 'with', 'QT', 'monitoring', ')', '.']",17,85
What is an example of opioid medications?,What,70,gabapentin in neuropathic pain states,Recommendations,1,1.0,"['What', 'is', 'an', 'example', 'of', 'opioid', 'medications', '?']","['gabapentin', 'in', 'neuropathic', 'pain', 'states']",8,5
What should be considered for non-opioid pharmacologic agents?,What,71,Potential contraindications and long-term  risks of use,Recommendations,1,1.0,"['What', 'should', 'be', 'considered', 'for', 'non', '-', 'opioid', 'pharmacologic', 'agents', '?']","['Potential', 'contraindications', 'and', 'long', '-', 'term', ' ', 'risks', 'of', 'use']",11,10
Why should the potential contraindications and long-term  risks of use be considered for non-opioid pharmacologic agents as well?,Why,72,"these also can carry risk  of harm, depending on the specific patient and chosen medication",Recommendations,0,0.9655172413793104,"['Why', 'should', 'the', 'potential', 'contraindications', 'and', 'long', '-', 'term', ' ', 'risks', 'of', 'use', 'be', 'considered', 'for', 'non', '-', 'opioid', 'pharmacologic', 'agents', 'as', 'well', '?']","['these', 'also', 'can', 'carry', 'risk', ' ', 'of', 'harm', ',', 'depending', 'on', 'the', 'specific', 'patient', 'and', 'chosen', 'medication']",24,17
What are the adverse effects of LOT?,What,73,"increased mortality, OUD, overdose, sexual dysfunction, fractures, myocardial infarction, constipation, and sleep-disordered breathing",Background,1,1.0,"['What', 'are', 'the', 'adverse', 'effects', 'of', 'LOT', '?']","['increased', 'mortality', ',', 'OUD', ',', 'overdose', ',', 'sexual', 'dysfunction', ',', 'fractures', ',', 'myocardial', 'infarction', ',', 'constipation', ',', 'and', 'sleep', '-', 'disordered', 'breathing']",8,22
What is the state of research on the effectiveness of LOT for non-end-of-life pain?,What,74,limited,Background,1,1.0,"['What', 'is', 'the', 'state', 'of', 'research', 'on', 'the', 'effectiveness', 'of', 'LOT', 'for', 'non', '-', 'end', '-', 'of', '-', 'life', 'pain', '?']",['limited'],21,1
How many opioid prescriptions were written in 2012?,How,75,259 million,Background,1,1.0,"['How', 'many', 'opioid', 'prescriptions', 'were', 'written', 'in', '2012', '?']","['259', 'million']",9,2
Why is an empathetic and non-judgmental approach highly recommended for communication with a patient?,Why,76,"in order to build trust and facilitate frank discussions relating to the social, economic, emotional, and cultural factors that influence patients’  perceptions, behaviors, and decision making",Specifications,0,0.9583333333333334,"['Why', 'is', 'an', 'empathetic', 'and', 'non', '-', 'judgmental', 'approach', 'highly', 'recommended', 'for', 'communication', 'with', 'a', 'patient', '?']","['in', 'order', 'to', 'build', 'trust', 'and', 'facilitate', 'frank', 'discussions', 'relating', 'to', 'the', 'social', ',', 'economic', ',', 'emotional', ',', 'and', 'cultural', 'factors', 'that', 'influence', 'patients', '’', ' ', 'perceptions', ',', 'behaviors', ',', 'and', 'decision', 'making']",17,33
What does this CPG not do?,What,77,"does not provide recommendations for the management of pain with LOT in children or  adolescents, in patients with acute pain, or in patients receiving end-of-life care",Specifications,0,0.9583333333333334,"['What', 'does', 'this', 'CPG', 'not', 'do', '?']","['does', 'not', 'provide', 'recommendations', 'for', 'the', 'management', 'of', 'pain', 'with', 'LOT', 'in', 'children', 'or', ' ', 'adolescents', ',', 'in', 'patients', 'with', 'acute', 'pain', ',', 'or', 'in', 'patients', 'receiving', 'end', '-', 'of', '-', 'life', 'care']",7,33
What is this OT CPG designed to do?,What,78,assist healthcare providers in managing or co-managing patients on or being  considered for LOT,Specifications,1,1.0,"['What', 'is', 'this', 'OT', 'CPG', 'designed', 'to', 'do', '?']","['assist', 'healthcare', 'providers', 'in', 'managing', 'or', 'co', '-', 'managing', 'patients', 'on', 'or', 'being', ' ', 'considered', 'for', 'LOT']",9,17
What outweigh any potential  modest benefit of prescribing LOT in this population?,What,80,"the lack of evidence of efficacy of LOT and considerable evidence of  significant harms of overdose, death from overdose, and increased risk of suicide",Recommendations,1,1.0,"['What', 'outweigh', 'any', 'potential', ' ', 'modest', 'benefit', 'of', 'prescribing', 'LOT', 'in', 'this', 'population', '?']","['the', 'lack', 'of', 'evidence', 'of', 'efficacy', 'of', 'LOT', 'and', 'considerable', 'evidence', 'of', ' ', 'significant', 'harms', 'of', 'overdose', ',', 'death', 'from', 'overdose', ',', 'and', 'increased', 'risk', 'of', 'suicide']",14,27
What does not guarantee coverage of civilian sector care?,What,81,inclusion of recommendations for specific testing and/or therapeutic interventions within these guidelines,Introduction,1,1.0,"['What', 'does', 'not', 'guarantee', 'coverage', 'of', 'civilian', 'sector', 'care', '?']","['inclusion', 'of', 'recommendations', 'for', 'specific', 'testing', 'and/or', 'therapeutic', 'interventions', 'within', 'these', 'guidelines']",10,12
Who had higher rates  of OUD?,Who,82,those diagnosed with CNCP and an alcohol use or non-opioid drug use disorder,Recommendations,1,1.0,"['Who', 'had', 'higher', 'rates', ' ', 'of', 'OUD', '?']","['those', 'diagnosed', 'with', 'CNCP', 'and', 'an', 'alcohol', 'use', 'or', 'non', '-', 'opioid', 'drug', 'use', 'disorder']",8,15
What was associated with 28 times increased  odds of therapeutic opioid addiction compared to patients with CNCP without a lifetime history of SUD?,What,84,the presence of a lifetime history of SUD for patients with CNCP,Recommendations,1,1.0,"['What', 'was', 'associated', 'with', '28', 'times', 'increased', ' ', 'odds', 'of', 'therapeutic', 'opioid', 'addiction', 'compared', 'to', 'patients', 'with', 'CNCP', 'without', 'a', 'lifetime', 'history', 'of', 'SUD', '?']","['the', 'presence', 'of', 'a', 'lifetime', 'history', 'of', 'SUD', 'for', 'patients', 'with', 'CNCP']",25,12
What is not the intention of this guideline?,What,1,to serve as a standard of care,Specifications,0,0.9090909090909091,"['What', 'is', 'not', 'the', 'intention', 'of', 'this', 'guideline', '?']","['to', 'serve', 'as', 'a', 'standard', 'of', 'care']",9,7
How to use a CPG?,How,2,"the use of a CPG must always be considered as a recommendation, within the context of a provider’s  clinical judgment and patient values and preferences, for the care of an individual patient",Specifications,0,0.9130434782608696,"['How', 'to', 'use', 'a', 'CPG', '?']","['the', 'use', 'of', 'a', 'CPG', 'must', 'always', 'be', 'considered', 'as', 'a', 'recommendation', ',', 'within', 'the', 'context', 'of', 'a', 'provider', '’s', ' ', 'clinical', 'judgment', 'and', 'patient', 'values', 'and', 'preferences', ',', 'for', 'the', 'care', 'of', 'an', 'individual', 'patient']",6,36
What are the limitation of this CPG?,What,3,"As with other CPGs, there are limitations, including significant evidence gaps. Further, there is a need to  develop effective strategies for guideline implementation and evaluation of the effect of guideline  adherence on clinical outcomes.",Specifications,0,0.17142857142857143,"['What', 'are', 'the', 'limitation', 'of', 'this', 'CPG', '?']","['As', 'with', 'other', 'CPGs', ',', 'there', 'are', 'limitations', ',', 'including', 'significant', 'evidence', 'gaps', '.', 'Further', ',', 'there', 'is', 'a', 'need', 'to', ' ', 'develop', 'effective', 'strategies', 'for', 'guideline', 'implementation', 'and', 'evaluation', 'of', 'the', 'effect', 'of', 'guideline', ' ', 'adherence', 'on', 'clinical', 'outcomes', '.']",8,41
How are the standards of care determined?,How,4,on the basis of all  clinical data available for an individual patient and are subject to change as scientific knowledge and  technology advance and patterns evolve,Specifications,1,1.0,"['How', 'are', 'the', 'standards', 'of', 'care', 'determined', '?']","['on', 'the', 'basis', 'of', 'all', ' ', 'clinical', 'data', 'available', 'for', 'an', 'individual', 'patient', 'and', 'are', 'subject', 'to', 'change', 'as', 'scientific', 'knowledge', 'and', ' ', 'technology', 'advance', 'and', 'patterns', 'evolve']",8,28
What is EBPWG?,What,5,Evidence-Based Practice Work Group,Introduction,1,1.0,"['What', 'is', 'EBPWG', '?']","['Evidence', '-', 'Based', 'Practice', 'Work', 'Group']",4,6
What does this CPG intend to do?,What,6,"provide healthcare providers with a framework by which to evaluate, treat, and manage the individual needs and preferences of patients with chronic pain who are on or being considered for long-term opioid therapy (LOT)",Introduction,0,0.0,"['What', 'does', 'this', 'CPG', 'intend', 'to', 'do', '?']","['provide', 'healthcare', 'providers', 'with', 'a', 'framework', 'by', 'which', 'to', 'evaluate', ',', 'treat', ',', 'and', 'manage', 'the', 'individual', 'needs', 'and', 'preferences', 'of', 'patients', 'with', 'chronic', 'pain', 'who', 'are', 'on', 'or', 'being', 'considered', 'for', 'long', '-', 'term', 'opioid', 'therapy', '(', 'LOT', ')']",8,40
When was the Department of Veterans Affairs (VA) and Department of Defense (DoD) Evidence-Based Practice Work Group (EBPWG) was established and first chartered?,When,7,2004,Introduction,1,1.0,"['When', 'was', 'the', 'Department', 'of', 'Veterans', 'Affairs', '(', 'VA', ')', 'and', 'Department', 'of', 'Defense', '(', 'DoD', ')', 'Evidence', '-', 'Based', 'Practice', 'Work', 'Group', '(', 'EBPWG', ')', 'was', 'established', 'and', 'first', 'chartered', '?']",['2004'],32,1
"How does the Department of Veterans Affairs (VA) and Department of Defense (DoD) Evidence-Based Practice Work Group (EBPWG) advise the “…Health Executive Council on the use of clinical and epidemiological evidence to improve the health of the population across the Veterans Health Administration and Military Health System,”?",How,8,by facilitating the development of clinical practice guidelines (CPGs) for the VA and DoD populations,Introduction,1,1.0,"['How', 'does', 'the', 'Department', 'of', 'Veterans', 'Affairs', '(', 'VA', ')', 'and', 'Department', 'of', 'Defense', '(', 'DoD', ')', 'Evidence', '-', 'Based', 'Practice', 'Work', 'Group', '(', 'EBPWG', ')', 'advise', 'the', '“', '…', 'Health', 'Executive', 'Council', 'on', 'the', 'use', 'of', 'clinical', 'and', 'epidemiological', 'evidence', 'to', 'improve', 'the', 'health', 'of', 'the', 'population', 'across', 'the', 'Veterans', 'Health', 'Administration', 'and', 'Military', 'Health', 'System', ',', '”', '?']","['by', 'facilitating', 'the', 'development', 'of', 'clinical', 'practice', 'guidelines', '(', 'CPGs', ')', 'for', 'the', 'VA', 'and', 'DoD', 'populations']",60,17
What are CPGs?,What,9,clinical practice guidelines,Introduction,1,1.0,"['What', 'are', 'CPGs', '?']","['clinical', 'practice', 'guidelines']",4,3
What was the mission of the Department of Veterans Affairs (VA) and Department of Defense (DoD) Evidence-Based Practice Work Group (EBPWG)?,What,10,"to advise the “…Health Executive Council on the use of clinical and epidemiological evidence to improve the health of the population across the Veterans Health Administration and Military Health System,” by facilitating the development of clinical practice guidelines (CPGs) for the VA and DoD populations",Introduction,0,0.05128205128205127,"['What', 'was', 'the', 'mission', 'of', 'the', 'Department', 'of', 'Veterans', 'Affairs', '(', 'VA', ')', 'and', 'Department', 'of', 'Defense', '(', 'DoD', ')', 'Evidence', '-', 'Based', 'Practice', 'Work', 'Group', '(', 'EBPWG', ')', '?']","['to', 'advise', 'the', '“', '…', 'Health', 'Executive', 'Council', 'on', 'the', 'use', 'of', 'clinical', 'and', 'epidemiological', 'evidence', 'to', 'improve', 'the', 'health', 'of', 'the', 'population', 'across', 'the', 'Veterans', 'Health', 'Administration', 'and', 'Military', 'Health', 'System', ',', '”', 'by', 'facilitating', 'the', 'development', 'of', 'clinical', 'practice', 'guidelines', '(', 'CPGs', ')', 'for', 'the', 'VA', 'and', 'DoD', 'populations']",30,51
What is LOT?,What,11,long-term opioid therapy,Introduction,1,1.0,"['What', 'is', 'LOT', '?']","['long', '-', 'term', 'opioid', 'therapy']",4,5
Which opioid delivery for opioids has significant potential for harm from OT?,Which,12,either transdermal or buccal,Recommendations,0,0.8571428571428571,"['Which', 'opioid', 'delivery', 'for', 'opioids', 'has', 'significant', 'potential', 'for', 'harm', 'from', 'OT', '?']","['either', 'transdermal', 'or', 'buccal']",13,4
Which delivery mechanism has no evidence of benefit ove traditional opioid delivery systems in patients with chronic pain? ,Which,13,either transdermal or buccal,Recommendations,0,0.6666666666666665,"['Which', 'delivery', 'mechanism', 'has', 'no', 'evidence', 'of', 'benefit', 'ove', 'traditional', 'opioid', 'delivery', 'systems', 'in', 'patients', 'with', 'chronic', 'pain', '?']","['either', 'transdermal', 'or', 'buccal']",19,4
What are the risks associated with a fentanyl transdermal delivery system (or patch)?,What,14,"Unique pharmacokinetic profile, Continuous delivery, even after the patch is removed due to depot effect, Increased rate of delivery, Unpredictable variation in rate of delivery  - Due to alterations in temperature due to external heat, skin integrity, and amount of  adipose tissue, Among patients with fever, skin damage, or cachexia",Recommendations,0,0.7027027027027027,"['What', 'are', 'the', 'risks', 'associated', 'with', 'a', 'fentanyl', 'transdermal', 'delivery', 'system', '(', 'or', 'patch', ')', '?']","['Unique', 'pharmacokinetic', 'profile', ',', 'Continuous', 'delivery', ',', 'even', 'after', 'the', 'patch', 'is', 'removed', 'due', 'to', 'depot', 'effect', ',', 'Increased', 'rate', 'of', 'delivery', ',', 'Unpredictable', 'variation', 'in', 'rate', 'of', 'delivery', ' ', '-', 'Due', 'to', 'alterations', 'in', 'temperature', 'due', 'to', 'external', 'heat', ',', 'skin', 'integrity', ',', 'and', 'amount', 'of', ' ', 'adipose', 'tissue', ',', 'Among', 'patients', 'with', 'fever', ',', 'skin', 'damage', ',', 'or', 'cachexia']",16,61
What is the stance regarding prescribing long-acting opioids for acute pain?,What,15,recommend against,Recommendations,1,1.0,"['What', 'is', 'the', 'stance', 'regarding', 'prescribing', 'long', '-', 'acting', 'opioids', 'for', 'acute', 'pain', '?']","['recommend', 'against']",14,2
